date,county,cases,cases_rate,cases_avg_new,cases_avg_new_rate,cases_cume,cases_cume_rate
2021-06-11T00:00:00.000,Butler,5,2.7,6.1,3.3,17568,9352
2021-06-10T00:00:00.000,Butler,2,1.1,7.7,4.1,17563,9349.3
2021-06-09T00:00:00.000,Butler,9,4.8,9.1,4.9,17561,9348.3
2021-06-08T00:00:00.000,Butler,6,3.2,8.4,4.5,17552,9343.5
2021-06-07T00:00:00.000,Butler,8,4.3,9.6,5.1,17546,9340.3
2021-06-06T00:00:00.000,Butler,6,3.2,10.7,5.7,17538,9336
2021-06-05T00:00:00.000,Butler,7,3.7,11,5.9,17532,9332.8
2021-06-04T00:00:00.000,Butler,16,8.5,11,5.9,17525,9329.1
2021-06-03T00:00:00.000,Butler,12,6.4,11,5.9,17509,9320.6
2021-06-02T00:00:00.000,Butler,4,2.1,11.3,6,17497,9314.2
2021-06-01T00:00:00.000,Butler,14,7.5,12.9,6.8,17493,9312.1
2021-05-31T00:00:00.000,Butler,16,8.5,13.7,7.3,17479,9304.6
2021-05-30T00:00:00.000,Butler,8,4.3,14.1,7.5,17463,9296.1
2021-05-29T00:00:00.000,Butler,7,3.7,14.6,7.8,17455,9291.8
2021-05-28T00:00:00.000,Butler,16,8.5,15.3,8.1,17448,9288.1
2021-05-27T00:00:00.000,Butler,14,7.5,14.7,7.8,17432,9279.6
2021-05-26T00:00:00.000,Butler,15,8,15.9,8.4,17418,9272.1
2021-05-25T00:00:00.000,Butler,20,10.6,16.9,9,17403,9264.2
2021-05-24T00:00:00.000,Butler,19,10.1,15.7,8.4,17383,9253.5
2021-05-23T00:00:00.000,Butler,11,5.9,18,9.6,17364,9243.4
2021-05-22T00:00:00.000,Butler,12,6.4,18.6,9.9,17353,9237.5
2021-05-21T00:00:00.000,Butler,12,6.4,17.6,9.4,17341,9231.2
2021-05-20T00:00:00.000,Butler,22,11.7,19.1,10.2,17329,9224.8
2021-05-19T00:00:00.000,Butler,22,11.7,19.6,10.4,17307,9213.1
2021-05-18T00:00:00.000,Butler,12,6.4,19.7,10.5,17285,9201.3
2021-05-17T00:00:00.000,Butler,35,18.6,21.9,11.6,17273,9195
2021-05-16T00:00:00.000,Butler,15,8,23.6,12.5,17238,9176.3
2021-05-15T00:00:00.000,Butler,5,2.7,23,12.2,17223,9168.3
2021-05-14T00:00:00.000,Butler,23,12.2,24.7,13.2,17218,9165.7
2021-05-13T00:00:00.000,Butler,25,13.3,28.3,15.1,17195,9153.4
2021-05-12T00:00:00.000,Butler,23,12.2,29.4,15.7,17170,9140.1
2021-05-11T00:00:00.000,Butler,27,14.4,30.1,16,17147,9127.9
2021-05-10T00:00:00.000,Butler,47,25,30.4,16.2,17120,9113.5
2021-05-09T00:00:00.000,Butler,11,5.9,29.9,15.9,17073,9088.5
2021-05-08T00:00:00.000,Butler,17,9,31,16.5,17062,9082.6
2021-05-07T00:00:00.000,Butler,48,25.6,34,18.1,17045,9073.6
2021-05-06T00:00:00.000,Butler,33,17.6,32.4,17.3,16997,9048
2021-05-05T00:00:00.000,Butler,28,14.9,36.9,19.6,16964,9030.5
2021-05-04T00:00:00.000,Butler,29,15.4,38.4,20.5,16936,9015.6
2021-05-03T00:00:00.000,Butler,43,22.9,40.4,21.5,16907,9000.1
2021-05-02T00:00:00.000,Butler,19,10.1,40.4,21.5,16864,8977.2
2021-05-01T00:00:00.000,Butler,38,20.2,39.7,21.1,16845,8967.1
2021-04-30T00:00:00.000,Butler,37,19.7,38.3,20.4,16807,8946.9
2021-04-29T00:00:00.000,Butler,64,34.1,39,20.8,16770,8927.2
2021-04-28T00:00:00.000,Butler,39,20.8,37.1,19.8,16706,8893.1
2021-04-27T00:00:00.000,Butler,43,22.9,36,19.2,16667,8872.4
2021-04-26T00:00:00.000,Butler,43,22.9,37.3,19.8,16624,8849.5
2021-04-25T00:00:00.000,Butler,14,7.5,36.4,19.4,16581,8826.6
2021-04-24T00:00:00.000,Butler,28,14.9,37.9,20.2,16567,8819.1
2021-04-23T00:00:00.000,Butler,42,22.4,35.6,18.9,16539,8804.2
2021-04-22T00:00:00.000,Butler,51,27.1,43.9,23.3,16497,8781.9
2021-04-21T00:00:00.000,Butler,31,16.5,44.1,23.5,16446,8754.7
2021-04-20T00:00:00.000,Butler,52,27.7,46.7,24.9,16415,8738.2
2021-04-19T00:00:00.000,Butler,37,19.7,51,27.1,16363,8710.5
2021-04-18T00:00:00.000,Butler,24,12.8,51.7,27.5,16326,8690.8
2021-04-17T00:00:00.000,Butler,12,6.4,52,27.7,16302,8678.1
2021-04-16T00:00:00.000,Butler,100,53.2,57.1,30.4,16290,8671.7
2021-04-15T00:00:00.000,Butler,53,28.2,50.1,26.7,16190,8618.4
2021-04-14T00:00:00.000,Butler,49,26.1,53.7,28.6,16137,8590.2
2021-04-13T00:00:00.000,Butler,82,43.7,57.7,30.7,16088,8564.1
2021-04-12T00:00:00.000,Butler,42,22.4,56.4,30,16006,8520.5
2021-04-11T00:00:00.000,Butler,26,13.8,58.1,31,15964,8498.1
2021-04-10T00:00:00.000,Butler,48,25.6,58.7,31.3,15938,8484.3
2021-04-09T00:00:00.000,Butler,51,27.1,56.3,30,15890,8458.7
2021-04-08T00:00:00.000,Butler,78,41.5,58.4,31.1,15839,8431.6
2021-04-07T00:00:00.000,Butler,77,41,57.9,30.8,15761,8390.1
2021-04-06T00:00:00.000,Butler,73,38.9,53.1,28.3,15684,8349.1
2021-04-05T00:00:00.000,Butler,54,28.7,54,28.7,15611,8310.2
